degree,count,probability
344,1,3.601137959595232e-05
347,1,3.601137959595232e-05
373,1,3.601137959595232e-05
380,2,7.202275919190464e-05
383,1,3.601137959595232e-05
385,1,3.601137959595232e-05
388,1,3.601137959595232e-05
406,1,3.601137959595232e-05
411,1,3.601137959595232e-05
421,1,3.601137959595232e-05
424,1,3.601137959595232e-05
426,1,3.601137959595232e-05
427,1,3.601137959595232e-05
438,1,3.601137959595232e-05
456,1,3.601137959595232e-05
467,1,3.601137959595232e-05
475,1,3.601137959595232e-05
494,1,3.601137959595232e-05
520,1,3.601137959595232e-05
651,1,3.601137959595232e-05
701,1,3.601137959595232e-05
748,1,3.601137959595232e-05
775,1,3.601137959595232e-05
788,2,7.202275919190464e-05
807,1,3.601137959595232e-05
1006,1,3.601137959595232e-05
1032,1,3.601137959595232e-05
1114,1,3.601137959595232e-05
1144,1,3.601137959595232e-05
1155,1,3.601137959595232e-05
1199,1,3.601137959595232e-05
1299,1,3.601137959595232e-05
1641,1,3.601137959595232e-05
1775,1,3.601137959595232e-05
2414,1,3.601137959595232e-05
