node_id,in_degree,out_degree,total_degree
1127,5,25,30
1128,10,14,24
1129,9,5,14
1130,4,10,14
1131,18,29,47
1132,32,30,62
1133,24,25,49
1134,5,11,16
1135,9,18,27
1136,2,9,11
1137,9,19,28
1138,24,36,60
1140,4,6,10
1141,1,3,4
1142,0,39,39
1143,32,22,54
1144,12,20,32
1145,15,10,25
1146,0,2,2
1147,0,1,1
1148,0,4,4
1149,1,18,19
1150,1,12,13
1151,6,5,11
1152,1,1,2
1153,0,1,1
1154,0,1,1
1155,1,1,2
1156,1,4,5
1157,3,18,21
1158,2,8,10
1159,68,24,92
1160,4,0,4
1161,3,10,13
1162,2,5,7
1163,3,12,15
1164,4,12,16
1165,6,11,17
1166,10,17,27
1167,37,10,47
1168,8,41,49
1169,6,17,23
1170,8,31,39
1171,1,4,5
1172,1,17,18
1173,5,13,18
1174,3,5,8
1175,4,9,13
1176,3,11,14
1177,9,29,38
1178,19,17,36
1179,6,14,20
1180,13,14,27
1181,1,0,1
1182,42,7,49
1183,23,20,43
1184,19,23,42
1185,6,27,33
1186,1,12,13
1187,0,3,3
1188,14,16,30
1189,6,16,22
1190,7,25,32
1191,1,2,3
1192,65,38,103
1193,14,21,35
1194,0,17,17
1195,5,2,7
1196,1,4,5
1197,142,15,157
1198,7,27,34
1199,22,11,33
1200,26,40,66
1201,57,24,81
1202,8,11,19
1203,97,5,102
1204,33,21,54
1205,12,21,33
1206,149,26,175
1207,2,5,7
1208,2,16,18
1209,20,17,37
1210,3,3,6
1211,10,18,28
1212,17,63,80
1213,20,53,73
1214,4,13,17
1215,57,16,73
1216,18,31,49
1217,7,8,15
1218,5,10,15
1219,0,13,13
1220,0,1,1
1221,1,8,9
1222,5,9,14
2001,1,4,5
2002,3,27,30
2003,1,10,11
2004,10,26,36
2006,2,15,17
2007,15,19,34
2008,11,34,45
2009,23,27,50
2010,6,6,12
2011,10,43,53
2012,5,28,33
2013,1,4,5
2014,0,7,7
2015,4,4,8
2016,52,104,156
2017,0,8,8
2019,2,7,9
2020,16,14,30
2021,7,34,41
2022,4,2,6
2023,45,11,56
2024,2,4,6
2025,6,14,20
2026,3,8,11
2027,21,9,30
2028,18,32,50
2029,5,47,52
2030,4,34,38
2031,1,13,14
2032,1,16,17
2033,5,4,9
2034,50,75,125
2035,4,24,28
2037,52,17,69
2038,5,19,24
2039,8,18,26
2040,26,49,75
2041,2,1,3
2042,11,17,28
2043,9,29,38
2044,31,22,53
2045,3,4,7
2046,8,12,20
2047,5,16,21
2049,3,11,14
2050,14,4,18
2051,1,3,4
2052,2,18,20
2053,1,12,13
2054,28,20,48
2055,0,3,3
2056,12,15,27
2057,5,22,27
2058,3,3,6
2059,0,2,2
2060,3,13,16
2061,9,22,31
2062,6,5,11
2063,2,3,5
2064,0,2,2
2065,8,23,31
2066,27,16,43
2067,57,27,84
2068,1,4,5
2069,2,5,7
2070,14,20,34
2071,1,5,6
2072,108,3,111
2073,49,18,67
2074,2,12,14
2075,182,8,190
2076,25,20,45
2077,4,13,17
2078,4,12,16
2079,1,0,1
2080,0,5,5
2081,0,17,17
2082,9,6,15
2083,0,2,2
2084,50,32,82
2085,2,8,10
2086,2,31,33
2087,5,30,35
2088,1,10,11
2089,0,5,5
2090,31,18,49
2091,186,20,206
2092,2,2,4
2093,4,21,25
2094,41,67,108
2095,1,0,1
2096,2,4,6
2097,0,15,15
2098,8,15,23
2099,11,17,28
2100,21,31,52
2101,11,16,27
2102,3,58,61
2103,19,29,48
2104,7,23,30
2105,1,4,5
2106,20,7,27
2107,5,14,19
2108,3,6,9
2109,0,1,1
2110,14,8,22
2111,10,21,31
2112,0,4,4
2113,1,3,4
2114,4,9,13
2115,0,3,3
2116,3,68,71
2117,107,16,123
2118,5,99,104
2119,34,18,52
2120,1,4,5
2121,43,12,55
2122,2,3,5
2123,4,4,8
2125,13,28,41
2126,11,25,36
2127,3,21,24
2128,5,17,22
2129,2,9,11
2130,14,84,98
2131,6,18,24
2132,21,27,48
2133,1,13,14
2134,1,13,14
2135,1,7,8
2136,3,7,10
2138,15,25,40
2139,3,7,10
2140,11,30,41
2141,6,12,18
2142,11,7,18
2143,45,13,58
2144,0,3,3
2145,45,20,65
2146,13,9,22
2147,28,16,44
2148,2,7,9
2149,15,27,42
2150,2,30,32
2151,1,2,3
2152,4,15,19
2153,2,1,3
2154,23,30,53
2155,2,27,29
2156,8,12,20
2157,13,12,25
2158,61,24,85
2159,114,40,154
2160,102,70,172
2161,66,4,70
2162,1,4,5
2164,57,6,63
2165,1,28,29
2166,1,25,26
2167,5,7,12
2168,0,2,2
2169,5,30,35
2170,29,25,54
2171,63,28,91
2172,20,42,62
2173,6,5,11
2174,31,18,49
2175,12,28,40
2176,14,35,49
2177,0,3,3
2178,0,3,3
2179,5,0,5
2180,25,16,41
2181,2,2,4
2182,3,2,5
2183,9,21,30
2184,8,75,83
2185,2,8,10
2186,134,20,154
2187,3,30,33
2188,5,23,28
2189,20,17,37
2190,76,6,82
2191,13,48,61
2192,33,7,40
2193,20,3,23
2194,10,25,35
2195,1,5,6
2196,10,9,19
2197,1,4,5
2198,13,25,38
2199,1,18,19
2200,0,10,10
2201,0,2,2
2202,0,22,22
2203,1,2,3
2204,6,11,17
2205,9,33,42
2206,0,2,2
2207,0,5,5
2208,2,2,4
2209,3,18,21
2210,38,2,40
2211,133,29,162
2212,3,11,14
2213,8,8,16
2214,2,15,17
2215,1,14,15
2216,1,11,12
2217,4,15,19
2218,1,5,6
2219,4,17,21
2220,0,4,4
2221,0,8,8
2222,74,40,114
2223,75,24,99
2224,0,1,1
2225,5,16,21
2226,35,35,70
2227,5,1,6
2228,20,24,44
2229,2,8,10
2230,65,35,100
2231,13,10,23
2232,0,7,7
2233,25,4,29
2234,3,6,9
2235,1,17,18
2236,24,6,30
2237,133,24,157
2238,1,3,4
2239,13,9,22
2240,7,14,21
2241,4,9,13
2242,15,41,56
2243,2,3,5
2244,14,40,54
2245,52,57,109
2246,0,11,11
2247,1,13,14
2248,0,3,3
2249,0,13,13
2250,2,25,27
2251,3,2,5
2252,0,6,6
2254,3,5,8
2255,1,16,17
2256,14,15,29
2258,0,15,15
2259,0,1,1
3001,2,7,9
3002,10,6,16
3003,3,5,8
3004,18,2,20
3005,12,5,17
3006,28,14,42
3007,40,44,84
3008,3,2,5
3009,4,22,26
3010,5,2,7
3011,9,0,9
3012,20,17,37
3013,5,1,6
3014,6,2,8
3015,0,2,2
3016,3,1,4
3017,6,21,27
3018,5,6,11
3019,0,31,31
3020,42,38,80
3021,0,5,5
3022,6,27,33
3023,1,7,8
3024,41,24,65
3025,35,49,84
3026,4,13,17
3027,3,14,17
3028,0,2,2
3029,28,21,49
3030,12,1,13
3031,97,9,106
3032,17,57,74
3033,15,45,60
3034,2,1,3
3035,5,12,17
3036,6,10,16
3037,107,27,134
3038,13,21,34
3039,2,1,3
3040,0,4,4
3041,2,12,14
3042,5,19,24
3043,3,7,10
3044,2,7,9
3045,32,10,42
3046,6,3,9
3047,0,13,13
3048,8,7,15
3049,7,2,9
3050,16,39,55
3051,15,22,37
3052,105,27,132
3053,14,13,27
3054,47,8,55
3055,34,15,49
3056,14,35,49
3057,44,21,65
3058,9,5,14
3059,6,21,27
3060,0,6,6
3061,41,11,52
3062,2,3,5
3063,18,28,46
3064,5,15,20
3065,1,10,11
3066,6,5,11
3067,42,9,51
3068,5,22,27
3069,0,17,17
3070,6,10,16
3071,4,12,16
3072,7,18,25
3073,2,7,9
3074,42,9,51
3075,113,19,132
3076,33,59,92
3077,2,2,4
3078,2,25,27
3079,3,0,3
3080,0,2,2
3081,2,11,13
3082,5,1,6
3083,0,7,7
3084,1,9,10
3085,25,29,54
3086,14,125,139
3087,1,6,7
3089,0,2,2
3090,0,7,7
3091,0,4,4
3092,5,4,9
3093,28,11,39
3094,0,1,1
3095,1,6,7
3096,25,36,61
3097,2,8,10
3098,3,5,8
3099,13,9,22
3100,18,31,49
3101,106,25,131
3102,3,17,20
3103,20,19,39
3105,0,1,1
3106,1,22,23
3107,2,0,2
3108,3,7,10
3109,10,15,25
3110,22,34,56
3111,1,5,6
3112,4,4,8
3113,61,15,76
3114,12,4,16
3115,6,22,28
3116,20,25,45
3117,68,2,70
3118,35,9,44
3119,0,41,41
3120,18,11,29
3121,8,14,22
3122,79,43,122
3123,6,15,21
3124,28,28,56
3125,1,3,4
3126,0,2,2
3127,1,6,7
3128,12,10,22
3129,4,14,18
3130,5,5,10
3131,3,54,57
3132,0,4,4
3133,1,9,10
3134,3,1,4
3135,3,9,12
3136,179,83,262
3137,30,24,54
3138,7,4,11
3139,24,5,29
3140,4,4,8
3141,3,9,12
3142,10,12,22
3143,6,11,17
3144,17,9,26
3145,53,29,82
3146,3,13,16
3147,26,47,73
3148,11,20,31
3149,1,2,3
3150,1,2,3
3151,15,20,35
3152,2,25,27
3153,4,13,17
3154,2,11,13
3155,7,3,10
3156,1,18,19
3157,2,12,14
3158,2,5,7
3159,1,17,18
3160,242,35,277
3161,9,21,30
3162,14,16,30
3163,3,18,21
3164,0,7,7
3165,0,6,6
3166,9,18,27
3167,0,3,3
3168,0,25,25
3169,6,49,55
3170,1,6,7
3171,3,12,15
3172,2,0,2
3173,17,16,33
3174,4,16,20
3175,8,28,36
3176,39,31,70
3177,11,23,34
3178,7,11,18
3179,7,26,33
3180,55,47,102
3181,0,3,3
3182,0,6,6
3183,28,48,76
3184,20,50,70
3185,4,34,38
3186,0,4,4
3187,81,65,146
3188,29,4,33
3189,3,3,6
3190,1,134,135
3191,8,5,13
3192,9,15,24
3193,6,3,9
3194,2,7,9
3195,4,4,8
3196,1,5,6
3197,37,14,51
3198,63,40,103
3199,9,6,15
3200,5,56,61
3201,1,1,2
3202,1,9,10
3203,33,58,91
3204,5,34,39
3205,8,11,19
3206,5,9,14
3208,36,42,78
3209,4,0,4
3210,6,10,16
3211,8,37,45
3212,0,2,2
3213,7,30,37
3214,0,9,9
3215,51,43,94
3216,23,21,44
3217,4,18,22
3218,19,35,54
3219,10,47,57
3220,64,12,76
3221,71,31,102
3222,1,7,8
3223,15,9,24
3224,5,2,7
3225,2,8,10
3226,8,24,32
3227,28,21,49
3228,6,3,9
3229,3,3,6
3230,10,35,45
3231,26,19,45
3232,8,27,35
3233,2,14,16
3234,1,18,19
3235,1,23,24
3236,42,12,54
3237,64,11,75
3238,1,0,1
3239,6,1,7
3240,2,26,28
3241,0,20,20
3242,29,26,55
3243,12,5,17
3244,1,7,8
3245,1,31,32
3246,7,7,14
3247,1,5,6
3248,32,5,37
3249,16,11,27
3250,0,5,5
3251,2,20,22
3252,4,5,9
3253,4,3,7
3254,2,1,3
3255,6,16,22
3256,19,30,49
3257,1,5,6
3258,1,1,2
3259,1,5,6
3260,1,0,1
3261,21,26,47
3262,8,20,28
3263,59,26,85
3264,6,10,16
3265,9,19,28
3266,0,1,1
3267,6,1,7
3268,1,13,14
3269,11,35,46
3270,2,11,13
3271,10,8,18
3272,17,22,39
3273,21,10,31
3274,1,0,1
3275,5,6,11
3276,2,10,12
3277,8,10,18
3278,37,24,61
3279,1,0,1
3280,24,42,66
3281,11,21,32
3282,3,1,4
3283,1,1,2
3284,5,36,41
3285,8,18,26
3286,48,22,70
3287,0,1,1
3288,2,14,16
3289,9,42,51
3290,10,14,24
3291,3,8,11
3292,2,5,7
3293,1,1,2
3294,19,4,23
3295,15,7,22
3296,1,10,11
3297,5,9,14
3298,20,34,54
3299,5,20,25
3300,48,5,53
3301,8,3,11
4002,3,28,31
4003,18,22,40
4004,7,15,22
4005,41,13,54
4006,2,8,10
4007,0,2,2
4008,0,2,2
4009,7,36,43
4010,4,13,17
4011,17,25,42
4012,1,8,9
4013,45,37,82
4014,73,12,85
4015,49,12,61
4016,2,0,2
4017,5,14,19
4018,2,1,3
4019,11,14,25
4020,2,3,5
4021,6,10,16
4022,14,9,23
4023,1,10,11
4024,15,8,23
4025,5,10,15
4026,1,15,16
4027,11,11,22
4028,30,12,42
4030,8,29,37
4031,0,4,4
4032,10,14,24
4033,2,0,2
4036,9,5,14
4037,1,30,31
4038,28,43,71
4039,10,24,34
4040,4,30,34
4041,1,11,12
4043,5,2,7
4044,3,4,7
4046,1,10,11
4047,0,1,1
4048,7,13,20
4049,7,35,42
4050,0,3,3
4051,4,9,13
4052,2,26,28
4053,1,3,4
4054,1,7,8
4055,0,4,4
4056,34,22,56
4057,22,16,38
4058,1,1,2
4059,3,1,4
4060,2,2,4
4061,14,8,22
4062,14,9,23
4063,60,25,85
4064,3,2,5
4065,2,1,3
4066,0,15,15
4067,38,18,56
4068,19,36,55
4069,2,1,3
4070,2,32,34
4071,20,7,27
4072,30,20,50
4073,8,17,25
4074,43,50,93
4075,3,16,19
4076,13,15,28
4077,10,42,52
4078,5,14,19
4079,0,2,2
4080,25,31,56
4081,6,16,22
4082,1,3,4
4083,6,7,13
4084,11,5,16
4085,16,43,59
4086,4,13,17
4087,8,37,45
4088,3,3,6
4089,12,14,26
4090,13,18,31
4091,0,4,4
4092,3,26,29
4093,47,21,68
4094,3,12,15
4095,5,24,29
4096,2,12,14
4097,68,10,78
4098,7,25,32
4099,0,9,9
4100,6,21,27
4101,27,21,48
4102,23,22,45
4103,45,43,88
4104,12,30,42
4105,1,6,7
4106,49,19,68
4107,4,10,14
4108,2,5,7
4109,40,11,51
4110,0,1,1
4111,63,47,110
4112,15,11,26
4113,5,12,17
4114,26,36,62
4115,29,32,61
4116,2,5,7
4117,6,14,20
4118,0,11,11
4119,8,27,35
4120,1,22,23
4121,3,16,19
4122,2,11,13
4123,4,25,29
4124,38,21,59
4125,35,43,78
4126,49,20,69
4127,2,6,8
4128,2,6,8
4129,0,6,6
4130,4,16,20
4131,10,18,28
4132,1,3,4
4133,60,28,88
4134,42,10,52
4135,3,8,11
4136,3,27,30
4137,2,9,11
4138,1,3,4
4139,2,2,4
4140,1,5,6
4141,43,19,62
4142,18,16,34
4143,1,10,11
4144,3,8,11
4145,7,19,26
4146,0,14,14
4147,85,77,162
4148,31,42,73
4149,3,38,41
4150,0,4,4
4151,14,15,29
4152,2,17,19
4153,5,1,6
4154,4,11,15
4155,14,22,36
4157,2,15,17
4158,33,12,45
4159,3,28,31
4160,59,26,85
4161,2,1,3
4162,1,9,10
4163,2,16,18
4164,2,0,2
4165,42,21,63
4166,74,20,94
4167,1,12,13
4168,0,11,11
4169,0,2,2
4170,4,11,15
4171,26,1,27
4172,2,13,15
4173,0,6,6
4174,1,1,2
4175,1,1,2
4176,1,3,4
4177,4,5,9
4178,7,8,15
4179,5,13,18
4180,2,8,10
4181,4,13,17
4182,2,9,11
4183,31,65,96
4184,4,8,12
4185,5,19,24
4186,8,36,44
4187,12,69,81
4188,16,36,52
4189,3,6,9
4190,3,1,4
4191,3,5,8
4192,3,2,5
4193,1,1,2
4194,13,12,25
4195,22,22,44
4196,22,16,38
4197,0,1,1
4198,5,89,94
4199,7,16,23
4200,0,3,3
4201,3,17,20
4202,0,1,1
4203,3,6,9
4204,1,25,26
4205,2,4,6
4206,17,19,36
5001,13,17,30
5002,5,5,10
5003,12,26,38
5004,3,10,13
5005,24,14,38
5006,118,25,143
5007,9,47,56
5008,4,20,24
5009,3,6,9
5010,6,11,17
5011,2,6,8
5013,6,12,18
5014,10,27,37
5015,98,14,112
5016,84,14,98
5017,6,6,12
5018,2,5,7
5019,0,6,6
5020,0,10,10
5021,17,39,56
5023,0,3,3
5024,0,4,4
5025,55,14,69
5026,42,34,76
5027,6,13,19
5028,20,16,36
5029,55,73,128
5030,0,15,15
5031,179,35,214
5032,66,32,98
5033,1,4,5
5034,0,10,10
5035,1,15,16
5036,94,32,126
5037,4,5,9
5038,0,1,1
5039,3,2,5
5040,155,15,170
5041,11,3,14
5042,1,3,4
5043,0,2,2
5044,4,19,23
5045,10,15,25
5046,43,5,48
5047,15,38,53
5048,159,16,175
5049,31,63,94
5050,0,1,1
5051,1,11,12
5052,19,47,66
5053,8,31,39
5054,9,44,53
5055,3,17,20
5056,1,10,11
5057,1,0,1
5059,17,19,36
5060,1,2,3
5061,85,16,101
5062,4,5,9
5063,3,11,14
5064,4,10,14
5065,16,35,51
5066,13,27,40
5067,68,89,157
5068,11,24,35
5070,0,2,2
5071,2,6,8
5072,16,35,51
5073,62,22,84
5074,0,6,6
5075,4,12,16
5076,15,35,50
5077,6,18,24
5078,3,8,11
5079,0,3,3
5080,7,10,17
5081,2,20,22
5082,1,6,7
5083,8,13,21
5085,19,13,32
5086,6,12,18
5087,36,44,80
5088,8,23,31
5089,6,11,17
5090,43,20,63
5091,22,14,36
5092,1,2,3
5093,1,31,32
5094,8,9,17
5095,2,29,31
5096,1,11,12
5097,1,4,5
5098,3,30,33
5099,5,11,16
5100,1,8,9
5101,18,10,28
5102,0,8,8
5103,3,6,9
5104,2,0,2
5105,1,28,29
5106,5,15,20
5107,1,6,7
5108,6,9,15
5109,4,1,5
5110,4,6,10
5111,5,52,57
5112,3,3,6
5113,3,19,22
5114,10,37,47
5115,10,16,26
5116,4,7,11
5117,2,18,20
5119,9,8,17
5120,9,22,31
5121,5,31,36
5122,15,8,23
5123,27,15,42
5124,2,23,25
5125,14,15,29
5126,13,8,21
5127,32,33,65
5128,0,16,16
5129,157,22,179
5130,1,26,27
5131,0,1,1
5132,1,8,9
5133,0,24,24
5134,3,7,10
5135,18,28,46
5136,23,11,34
5137,17,27,44
5138,9,12,21
5139,20,14,34
5140,0,5,5
5141,0,1,1
5142,6,8,14
5143,9,8,17
5144,1,13,14
5145,28,58,86
5146,1,16,17
5147,19,37,56
5148,13,16,29
5149,0,2,2
5150,3,1,4
5151,25,47,72
5152,14,26,40
5153,7,43,50
5154,8,5,13
5155,1,2,3
5156,6,7,13
5157,7,7,14
5158,8,14,22
5159,24,30,54
5160,3,26,29
5161,3,11,14
5162,12,40,52
5163,16,15,31
5164,1,18,19
5165,8,21,29
5166,6,23,29
5167,5,32,37
5168,7,14,21
5169,2,39,41
5170,8,18,26
5171,0,1,1
5172,6,14,20
5173,12,4,16
5174,11,23,34
5175,2,7,9
5176,0,32,32
5178,3,31,34
5179,14,18,32
5180,3,21,24
5181,3,8,11
5182,40,39,79
5183,53,28,81
5184,0,10,10
5185,11,35,46
5186,8,28,36
5187,8,12,20
5188,0,1,1
5189,6,7,13
5190,2,2,4
5191,3,4,7
5192,5,52,57
5193,8,7,15
5194,15,17,32
5195,1,2,3
5196,0,6,6
5197,3,15,18
5198,1,16,17
5199,22,5,27
5200,1,0,1
5201,2,9,11
5202,5,12,17
5203,0,7,7
5204,102,20,122
5205,5,18,23
5206,9,21,30
5207,0,3,3
5208,92,32,124
5209,49,9,58
5210,19,33,52
5211,3,26,29
5212,36,12,48
5213,4,25,29
5214,3,5,8
5215,2,7,9
5216,1,0,1
5217,28,51,79
5218,2,2,4
5219,5,20,25
5220,6,32,38
5221,6,14,20
5222,27,8,35
5223,14,19,33
5224,12,6,18
5225,18,17,35
5226,4,7,11
5227,1,4,5
5228,0,4,4
5229,6,8,14
5230,10,47,57
5231,1,2,3
5232,4,9,13
5233,6,11,17
5234,5,11,16
5235,6,13,19
5236,4,17,21
5237,6,9,15
5238,0,4,4
5239,46,20,66
5240,0,1,1
5241,7,11,18
5242,23,36,59
5243,0,5,5
5244,21,13,34
5245,22,7,29
5246,14,30,44
5247,101,42,143
5248,13,14,27
5249,2,1,3
5250,4,28,32
5251,18,14,32
5252,0,2,2
5253,16,15,31
5254,5,5,10
5255,6,2,8
5256,1,33,34
5257,5,10,15
5258,2,14,16
5259,18,13,31
5260,0,2,2
5261,3,6,9
5262,1,20,21
5263,1,7,8
5264,0,1,1
5265,17,14,31
5266,7,6,13
5267,1,3,4
5268,11,19,30
5269,6,5,11
5270,27,5,32
5271,0,26,26
5272,51,33,84
5273,12,13,25
5274,4,17,21
5275,7,38,45
5276,28,31,59
5277,11,16,27
5278,1,11,12
5279,3,14,17
5280,7,29,36
5281,1,8,9
5282,5,11,16
5283,10,18,28
5284,0,3,3
5285,1,5,6
5286,2,4,6
5287,3,6,9
5288,1,5,6
6001,4,1,5
6003,28,3,31
6004,3,11,14
6005,9,6,15
6006,2,28,30
6007,37,13,50
6008,22,24,46
6009,10,34,44
6010,6,16,22
6011,10,31,41
6012,3,0,3
6013,25,21,46
6014,14,21,35
6015,1,11,12
6016,0,16,16
6017,2,14,16
6018,15,14,29
6019,2,31,33
6020,1,10,11
6021,0,1,1
6022,4,18,22
6023,47,30,77
6024,2,40,42
6025,8,2,10
6026,6,9,15
6027,8,4,12
6028,22,44,66
6029,2,0,2
6030,25,27,52
6031,1,2,3
6032,0,8,8
6033,21,50,71
6034,10,4,14
6035,15,23,38
6036,12,4,16
6037,6,27,33
6038,1,7,8
6039,2,6,8
6040,0,4,4
6041,1,39,40
6042,1,3,4
6043,6,33,39
6044,8,30,38
6045,0,1,1
6046,16,15,31
6047,42,28,70
6048,19,37,56
6049,6,23,29
6050,3,8,11
6051,11,12,23
6052,5,30,35
6054,3,25,28
6056,9,26,35
6057,11,4,15
6058,5,24,29
6059,17,12,29
6060,29,19,48
6061,4,0,4
6062,105,27,132
6063,1,16,17
6064,23,29,52
6065,0,9,9
6066,56,41,97
6067,10,15,25
6068,26,10,36
6069,9,26,35
6070,11,16,27
6071,101,20,121
6073,6,17,23
6074,0,2,2
6075,1,2,3
6076,2,5,7
6077,7,7,14
6078,2,9,11
6079,8,7,15
6080,1,3,4
6081,0,8,8
6082,1,0,1
6083,1,0,1
6084,1,8,9
6085,54,16,70
6086,3,18,21
6087,7,15,22
6088,2,36,38
6089,3,2,5
6090,8,17,25
6091,43,26,69
6092,0,3,3
6093,16,12,28
6094,10,9,19
6095,1,6,7
6096,2,8,10
6097,1,3,4
6098,9,14,23
6099,4,5,9
6100,24,40,64
6101,1,18,19
6102,14,11,25
6103,15,57,72
6105,1,4,5
6106,7,13,20
6107,15,14,29
6108,5,18,23
6109,2,0,2
6110,1,17,18
6111,1,25,26
6112,58,31,89
6113,8,27,35
6114,20,20,40
6115,27,20,47
6116,1,7,8
6117,23,20,43
6118,1,6,7
6119,38,16,54
6120,13,21,34
6121,7,22,29
6122,5,32,37
6123,2,5,7
6124,0,1,1
6126,0,4,4
6128,0,1,1
6131,0,4,4
6132,16,8,24
6134,4,15,19
6135,2,3,5
6136,0,4,4
6137,16,28,44
6138,1,3,4
6139,54,19,73
6140,4,38,42
6141,3,54,57
6143,1,3,4
6144,11,7,18
6145,36,11,47
6146,25,20,45
6147,7,2,9
6148,5,5,10
6149,1,6,7
6150,1,4,5
6151,13,15,28
6152,1,8,9
6153,4,3,7
6154,5,4,9
6155,0,1,1
6156,6,14,20
6157,2,1,3
6158,9,12,21
6159,0,7,7
6160,25,35,60
6161,1,6,7
6162,3,6,9
6163,3,18,21
6164,3,11,14
6165,4,17,21
6166,1,11,12
6167,1,11,12
6168,18,15,33
6169,3,8,11
6170,2,8,10
6171,14,1,15
6172,2,21,23
6173,0,11,11
6175,1,11,12
6176,10,51,61
6177,1,3,4
6178,1,2,3
6179,9,16,25
6180,3,10,13
6181,12,14,26
6182,0,4,4
6183,2,11,13
6184,1,3,4
6185,1,18,19
6186,4,17,21
6187,6,0,6
6188,0,6,6
6189,18,39,57
6190,4,44,48
6191,10,30,40
6192,18,27,45
6193,25,22,47
6194,0,33,33
6196,15,24,39
6197,0,9,9
6198,2,22,24
6199,5,11,16
6200,2,1,3
6201,4,30,34
6202,35,23,58
6203,38,17,55
6204,23,55,78
6205,0,1,1
6206,0,2,2
6207,8,1,9
6208,4,8,12
6209,31,57,88
6210,21,28,49
6211,13,7,20
6213,13,4,17
6214,2,3,5
6215,16,36,52
6216,22,12,34
6217,3,7,10
6218,0,21,21
6219,49,37,86
6220,2,3,5
6221,1,2,3
6222,7,28,35
6223,10,10,20
6224,51,21,72
6225,19,19,38
6226,16,25,41
6227,4,10,14
6228,5,29,34
6229,4,4,8
6230,4,7,11
6231,6,16,22
6232,41,29,70
6233,5,2,7
6234,9,15,24
6235,23,13,36
6236,66,29,95
6237,2,5,7
6238,1,13,14
6239,12,24,36
6240,106,27,133
6241,1,2,3
6242,7,19,26
6243,3,3,6
6244,0,18,18
6245,4,7,11
6246,43,9,52
6247,18,29,47
6248,5,3,8
6249,4,2,6
6250,0,4,4
6251,47,20,67
7001,2,35,37
7002,3,16,19
7003,1,0,1
7004,1,0,1
7005,1,0,1
7006,0,3,3
7007,20,47,67
7008,4,8,12
7009,5,24,29
7010,0,3,3
7011,27,26,53
7012,11,28,39
7013,6,15,21
7014,3,39,42
7015,9,20,29
7016,3,4,7
7017,6,14,20
7018,159,60,219
7019,12,28,40
7020,10,19,29
7021,1,27,28
7022,12,19,31
7023,8,34,42
7024,96,45,141
7025,2,1,3
7026,1,14,15
7027,1,4,5
7028,2,10,12
7029,34,35,69
7030,22,10,32
7031,3,18,21
7032,4,5,9
7033,3,6,9
7034,0,6,6
7035,22,18,40
7036,29,28,57
7037,8,5,13
7038,1,3,4
7039,2,9,11
7040,3,3,6
7041,3,18,21
7042,1,7,8
7043,78,23,101
7044,94,36,130
7045,1,2,3
7046,20,6,26
7047,3,13,16
7048,19,45,64
7049,8,18,26
7050,18,39,57
7051,9,7,16
7052,20,30,50
7053,19,22,41
7054,4,1,5
7055,2,22,24
7056,6,32,38
7058,4,37,41
7060,12,7,19
7061,4,40,44
7062,22,22,44
7063,9,19,28
7064,93,41,134
7065,24,6,30
7066,0,12,12
7067,21,43,64
7068,0,12,12
7069,13,17,30
7070,0,7,7
7071,10,20,30
7072,2,0,2
7073,5,24,29
7074,11,3,14
7075,20,45,65
